,YEAR,MONTH,DAY,TYPE,PERIOD,SEASON,NEIGHBOURHOOD,Counts
0,2014,9,1,Theft from Vehicle,PM,Summer,Victoria-Fraserview,8
1,2021,1,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Winter,Kitsilano,2
2,2013,2,1,Mischief,PM,Winter,Victoria-Fraserview,4
3,2018,9,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Autumn,Oakridge,1
4,2022,3,1,Other Theft,AM,Spring,Shaughnessy,1
5,2016,5,1,Break and Enter Residential/Other,PM,Spring,Fairview,5
6,2014,2,1,Mischief,AM,Winter,Victoria-Fraserview,2
7,2018,8,1,Offence Against a Person,AM,Summer,Kitsilano,8
8,2014,2,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Winter,Mount Pleasant,4
9,2020,8,1,Break and Enter Commercial,PM,Summer,Sunset,2
10,2019,3,1,Break and Enter Residential/Other,PM,Spring,Kitsilano,1
11,2018,3,1,Theft from Vehicle,PM,Spring,Grandview-Woodland,26
12,2012,4,1,Theft of Bicycle,PM,Spring,Mount Pleasant,11
13,2021,10,1,Mischief,AM,Autumn,Hastings-Sunrise,5
14,2014,4,1,Break and Enter Commercial,PM,Spring,Hastings-Sunrise,2
15,2015,2,1,Other Theft,PM,Winter,Arbutus Ridge,4
16,2020,3,1,Theft of Bicycle,PM,Winter,Fairview,3
17,2019,7,1,Theft from Vehicle,PM,Summer,Riley Park,32
18,2021,8,1,Theft from Vehicle,AM,Summer,Strathcona,11
19,2018,4,1,Theft of Vehicle,AM,Spring,Strathcona,1
20,2018,5,1,Break and Enter Residential/Other,AM,Spring,Kerrisdale,4
21,2015,8,1,Theft of Vehicle,AM,Summer,Central Business District,3
22,2013,6,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Spring,Grandview-Woodland,2
23,2016,6,1,Break and Enter Commercial,PM,Spring,Fairview,2
24,2018,5,1,Offence Against a Person,AM,Spring,Shaughnessy,2
25,2014,3,1,Mischief,PM,Winter,Hastings-Sunrise,4
26,2020,10,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Autumn,Renfrew-Collingwood,4
27,2015,12,1,Theft of Bicycle,PM,Autumn,Fairview,3
28,2015,4,1,Break and Enter Commercial,AM,Spring,Kensington-Cedar Cottage,4
29,2020,9,1,Theft from Vehicle,PM,Summer,Fairview,18
30,2018,11,1,Theft from Vehicle,AM,Autumn,Arbutus Ridge,2
31,2018,12,1,Break and Enter Commercial,PM,Autumn,Kitsilano,2
32,2022,4,1,Theft from Vehicle,PM,Spring,Central Business District,149
33,2019,8,1,Other Theft,AM,Summer,Grandview-Woodland,7
34,2020,10,1,Break and Enter Residential/Other,PM,Autumn,Arbutus Ridge,1
35,2015,12,1,Theft from Vehicle,PM,Winter,Hastings-Sunrise,9
36,2014,9,1,Mischief,AM,Autumn,Oakridge,1
37,2020,12,1,Break and Enter Commercial,PM,Winter,Fairview,3
38,2019,6,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Summer,Grandview-Woodland,1
39,2016,6,1,Other Theft,PM,Summer,Shaughnessy,2
40,2021,9,1,Break and Enter Commercial,AM,Summer,Fairview,4
41,2014,8,1,Break and Enter Residential/Other,AM,Summer,Strathcona,2
42,2021,1,1,Other Theft,AM,Winter,Dunbar-Southlands,2
43,2016,9,1,Other Theft,PM,Summer,Fairview,26
44,2020,3,1,Mischief,AM,Winter,Kitsilano,2
45,2012,6,1,Other Theft,AM,Spring,Kensington-Cedar Cottage,7
46,2022,11,1,Offence Against a Person,AM,Autumn,Sunset,7
47,2015,8,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Summer,Fairview,2
48,2021,8,1,Theft from Vehicle,PM,Summer,Victoria-Fraserview,13
49,2018,8,1,Offence Against a Person,AM,Summer,Marpole,4
50,2012,5,1,Mischief,PM,Spring,South Cambie,3
51,2013,1,1,Theft of Vehicle,PM,Winter,Killarney,2
52,2021,3,1,Mischief,AM,Winter,West End,5
53,2018,6,1,Other Theft,PM,Spring,Mount Pleasant,41
54,2020,12,1,Theft from Vehicle,AM,Winter,Kensington-Cedar Cottage,1
55,2020,3,1,Other Theft,PM,Winter,Strathcona,28
56,2022,1,1,Break and Enter Commercial,AM,Winter,Kerrisdale,3
57,2019,3,1,Vehicle Collision or Pedestrian Struck (with Injury),PM,Winter,Central Business District,3
58,2020,6,1,Theft from Vehicle,PM,Spring,Strathcona,13
59,2014,6,1,Theft of Bicycle,PM,Summer,Central Business District,20
60,2019,4,1,Break and Enter Residential/Other,AM,Spring,Killarney,2
61,2018,12,1,Other Theft,AM,Winter,Kensington-Cedar Cottage,2
62,2021,7,1,Mischief,AM,Summer,Fairview,14
63,2018,5,1,Theft from Vehicle,AM,Spring,Strathcona,30
64,2013,9,1,Break and Enter Commercial,AM,Autumn,Kitsilano,1
65,2015,1,1,Mischief,PM,Winter,Oakridge,2
66,2014,12,1,Vehicle Collision or Pedestrian Struck (with Injury),AM,Autumn,Hastings-Sunrise,4
67,2017,5,1,Theft of Vehicle,AM,Spring,Mount Pleasant,9
68,2014,5,1,Theft of Bicycle,PM,Spring,Kensington-Cedar Cottage,5
69,2020,1,1,Mischief,PM,Winter,Grandview-Woodland,20
70,2017,3,1,Break and Enter Residential/Other,PM,Winter,Grandview-Woodland,6
71,2015,9,1,Mischief,AM,Autumn,Hastings-Sunrise,2
72,2016,4,1,Mischief,PM,Spring,Mount Pleasant,20
73,2014,5,1,Theft of Vehicle,PM,Spring,Victoria-Fraserview,2
74,2017,5,1,Theft of Vehicle,PM,Spring,West Point Grey,1
75,2018,7,1,Offence Against a Person,AM,Summer,Central Business District,85
76,2022,4,1,Break and Enter Commercial,AM,Spring,Hastings-Sunrise,6
77,2018,4,1,Theft from Vehicle,PM,Spring,Hastings-Sunrise,36
78,2015,6,1,Mischief,PM,Spring,Grandview-Woodland,9
79,2015,6,1,Offence Against a Person,AM,Spring,Strathcona,25
80,2022,3,1,Other Theft,AM,Winter,Kitsilano,5
81,2012,4,1,Break and Enter Commercial,PM,Spring,Kitsilano,4
82,2013,6,1,Other Theft,PM,Summer,Riley Park,2
83,2013,2,1,Theft from Vehicle,AM,Winter,Hastings-Sunrise,6
