,TYPE,YEAR,MONTH,NEIGHBOURHOOD,Lat,Long,SEASON
0,Other Theft,2019,3,Grandview-Woodland,49.2811357012306,-123.06185916111674,Spring
1,Theft from Vehicle,2022,5,Central Business District,49.28182565864576,-123.1171385945695,Spring
2,Break and Enter Residential/Other,2018,5,Sunset,49.21552956117098,-123.07786873534366,Spring
3,Theft from Vehicle,2021,3,West End,49.285350597982045,-123.1237062993702,Winter
4,Theft of Vehicle,2019,10,Mount Pleasant,49.26476854948118,-123.10814830166068,Autumn
5,Theft from Vehicle,2019,8,Central Business District,49.2744793274416,-123.11669651928425,Summer
6,Theft from Vehicle,2019,1,Hastings-Sunrise,49.279060227889424,-123.05099805039904,Winter
7,Other Theft,2019,7,Kitsilano,49.26807985595112,-123.147592103887,Summer
8,Theft from Vehicle,2021,11,Central Business District,49.28271717499064,-123.10594329868442,Autumn
9,Mischief,2020,11,Central Business District,49.28155830567104,-123.1050140250518,Autumn
10,Other Theft,2020,11,Central Business District,49.28146651103234,-123.1034662002798,Autumn
11,Theft from Vehicle,2021,9,Hastings-Sunrise,49.28110704838903,-123.04659733625807,Summer
12,Theft of Bicycle,2019,5,Mount Pleasant,49.271548104772606,-123.10463457147416,Spring
13,Mischief,2019,8,Strathcona,49.27084758556197,-123.08782370755588,Summer
14,Mischief,2021,8,West End,49.29048883324574,-123.1340031731397,Summer
15,Break and Enter Commercial,2020,5,Central Business District,49.27489437239486,-123.11590497311796,Spring
16,Other Theft,2020,4,Central Business District,49.27969277249751,-123.11731279949156,Spring
17,Theft from Vehicle,2018,12,Central Business District,49.28176373835844,-123.11545133477505,Autumn
18,Mischief,2022,11,Central Business District,49.28548173279674,-123.11564041476596,Autumn
19,Break and Enter Residential/Other,2018,1,Central Business District,49.28319036413536,-123.11311876035955,Winter
20,Theft from Vehicle,2021,1,Strathcona,49.28006073828252,-123.0847789804612,Winter
21,Other Theft,2019,5,Central Business District,49.28139490308641,-123.11968666538311,Spring
22,Vehicle Collision or Pedestrian Struck (with Injury),2022,12,Strathcona,49.28227983258656,-123.09924611607076,Autumn
23,Theft from Vehicle,2019,10,Mount Pleasant,49.25669040481726,-123.07687964739809,Autumn
24,Theft from Vehicle,2019,7,Marpole,49.20693656063098,-123.13474245154973,Summer
25,Theft from Vehicle,2022,9,West End,49.29076053566079,-123.1342512905068,Summer
26,Mischief,2021,8,Strathcona,49.28033521238598,-123.099638477351,Summer
27,Other Theft,2021,2,Renfrew-Collingwood,49.23712023478645,-123.03187982778776,Winter
28,Other Theft,2019,3,Central Business District,49.28246309515364,-123.10706011076616,Winter
29,Theft from Vehicle,2018,10,Grandview-Woodland,49.28386359344587,-123.07034829613876,Autumn
30,Theft from Vehicle,2022,6,Central Business District,49.284028119166926,-123.1099206772792,Spring
31,Other Theft,2021,11,Central Business District,49.28137272036163,-123.11972025412156,Autumn
32,Theft from Vehicle,2018,7,West Point Grey,49.26299508645557,-123.21101990573338,Summer
33,Break and Enter Commercial,2020,7,Kerrisdale,49.22925321418592,-123.15513530618531,Summer
34,Break and Enter Commercial,2020,7,West End,49.28317999049753,-123.12901918603302,Summer
35,Other Theft,2022,7,Dunbar-Southlands,49.25599620391595,-123.18519513663874,Summer
36,Theft from Vehicle,2018,12,Central Business District,49.278140938877776,-123.12460895259018,Winter
37,Other Theft,2020,12,Kensington-Cedar Cottage,49.26226968891137,-123.0681990202188,Autumn
38,Break and Enter Commercial,2022,1,Central Business District,49.288956246395216,-123.12344198960012,Winter
39,Mischief,2019,2,West End,49.28804020356223,-123.12787912107352,Winter
40,Mischief,2019,11,Central Business District,49.280668294750384,-123.10554722882048,Autumn
41,Theft from Vehicle,2018,1,Central Business District,49.279252097562754,-123.12304019523056,Winter
42,Theft from Vehicle,2019,1,Central Business District,49.27932119797612,-123.1132773997444,Winter
43,Theft from Vehicle,2022,7,Central Business District,49.28176373835844,-123.11545133477505,Summer
44,Break and Enter Residential/Other,2020,2,Strathcona,49.277535410494245,-123.09461674147374,Winter
45,Theft from Vehicle,2019,6,Grandview-Woodland,49.2775960303108,-123.07407515479422,Spring
46,Mischief,2021,9,Fairview,49.26326008180046,-123.11559943113755,Summer
47,Other Theft,2021,1,Renfrew-Collingwood,49.25816374910402,-123.03698586568773,Winter
48,Break and Enter Commercial,2020,12,Victoria-Fraserview,49.232006499905104,-123.065581534281,Autumn
49,Theft from Vehicle,2022,10,Renfrew-Collingwood,49.24630787030749,-123.05487830323392,Autumn
50,Theft from Vehicle,2022,10,Central Business District,49.28279469491049,-123.10678621180348,Autumn
51,Break and Enter Commercial,2018,6,West Point Grey,49.2638174933952,-123.2051432170042,Spring
52,Mischief,2019,7,Kitsilano,49.2664047931406,-123.15532272457084,Summer
53,Theft of Bicycle,2018,8,Central Business District,49.28157399697274,-123.12337299675232,Summer
54,Break and Enter Residential/Other,2018,11,Victoria-Fraserview,49.23237122189673,-123.05652230266386,Autumn
55,Other Theft,2019,8,West End,49.28354643264424,-123.12312484848508,Summer
56,Theft from Vehicle,2020,3,Central Business District,49.286242276162135,-123.1151812806708,Spring
57,Theft of Vehicle,2018,7,Strathcona,49.28119649801923,-123.09146710023614,Summer
58,Other Theft,2019,3,Central Business District,49.28157399697274,-123.12337299675232,Spring
59,Mischief,2020,4,Kitsilano,49.26380037472586,-123.1541428586649,Spring
60,Mischief,2018,2,South Cambie,49.25009564655813,-123.11536052668956,Winter
61,Other Theft,2019,12,Grandview-Woodland,49.278048726477344,-123.05987154317847,Autumn
62,Theft from Vehicle,2021,2,Mount Pleasant,49.26595366875768,-123.095624355476,Winter
63,Other Theft,2022,10,Central Business District,49.28203995527481,-123.12078124596351,Autumn
64,Vehicle Collision or Pedestrian Struck (with Injury),2018,10,Central Business District,49.28276298246022,-123.11192453500328,Autumn
65,Other Theft,2018,10,Central Business District,49.27761654440444,-123.12558062357978,Autumn
66,Vehicle Collision or Pedestrian Struck (with Injury),2021,5,Stanley Park,49.295754029097694,-123.14984500579637,Spring
67,Other Theft,2019,1,Central Business District,49.27815869078672,-123.12475908462932,Winter
68,Theft of Vehicle,2018,5,West End,49.292672498102704,-123.13944380020176,Spring
69,Theft of Bicycle,2019,10,Kitsilano,49.268137627197085,-123.151383028055,Autumn
70,Other Theft,2021,5,South Cambie,49.24909152616159,-123.12716512414484,Spring
71,Theft of Vehicle,2020,12,Mount Pleasant,49.26251563062426,-123.08791754198428,Autumn
72,Other Theft,2021,12,Grandview-Woodland,49.26235675296471,-123.06867528303177,Autumn
73,Theft from Vehicle,2019,8,Central Business District,49.28176609234135,-123.11544778873092,Summer
74,Mischief,2019,12,Riley Park,49.237027820969736,-123.11320299248638,Autumn
75,Mischief,2019,2,Marpole,49.21231609808446,-123.11718829991143,Winter
76,Other Theft,2019,6,Hastings-Sunrise,49.28113249835405,-123.0283309004942,Spring
77,Mischief,2018,5,Central Business District,49.28246772422974,-123.1182103167794,Spring
78,Theft from Vehicle,2019,2,Central Business District,49.28242959800594,-123.10426739786452,Winter
79,Other Theft,2018,3,Kitsilano,49.26896410316317,-123.15143341796475,Spring
80,Mischief,2021,10,Strathcona,49.28284500820005,-123.09134751326476,Autumn
81,Other Theft,2018,5,Mount Pleasant,49.25944141647991,-123.11276128215836,Spring
82,Mischief,2022,1,Grandview-Woodland,49.26416889815543,-123.06975799977198,Winter
83,Mischief,2020,4,Shaughnessy,49.25705801766985,-123.13689392193491,Spring
84,Theft of Bicycle,2021,8,Kitsilano,49.270710698516616,-123.145691495292,Summer
85,Theft of Vehicle,2020,10,West End,49.285445185288864,-123.14133582901157,Autumn
86,Theft from Vehicle,2019,4,Marpole,49.20901793568916,-123.116722775917,Spring
87,Mischief,2022,1,West End,49.27948861068745,-123.12991130349285,Winter
88,Mischief,2022,7,Central Business District,49.27413671765604,-123.13093054964062,Summer
89,Mischief,2019,8,Mount Pleasant,49.26734504449866,-123.10004383820512,Summer
90,Theft from Vehicle,2019,10,Sunset,49.21727255552162,-123.08002609903784,Autumn
91,Mischief,2018,9,Mount Pleasant,49.265488288045134,-123.10276533533874,Summer
92,Theft from Vehicle,2018,6,Central Business District,49.27606296895543,-123.12772639165378,Summer
93,Break and Enter Residential/Other,2018,1,Kensington-Cedar Cottage,49.233843604460176,-123.0594800032203,Winter
94,Theft from Vehicle,2019,1,Grandview-Woodland,49.2834778114535,-123.06548243705694,Winter
95,Break and Enter Commercial,2019,12,Central Business District,49.27985224683632,-123.10830190445988,Autumn
96,Theft from Vehicle,2021,2,Grandview-Woodland,49.272048296098006,-123.05990550138144,Winter
97,Theft from Vehicle,2018,9,Kitsilano,49.26891405199876,-123.14801889724976,Summer
98,Mischief,2021,5,Marpole,49.214033428731774,-123.11368395122452,Spring
99,Theft from Vehicle,2019,7,Central Business District,49.28090269570274,-123.12247164887408,Summer
100,Mischief,2018,6,Central Business District,49.28811228686931,-123.1153350736686,Spring
101,Other Theft,2020,3,Sunset,49.2227151464385,-123.10165956792828,Winter
102,Theft from Vehicle,2018,11,Central Business District,49.277501517268256,-123.11597694574994,Autumn
103,Mischief,2020,1,Central Business District,49.28176373835844,-123.11545133477505,Winter
104,Other Theft,2019,11,West End,49.28354643264424,-123.12312484848508,Autumn
105,Other Theft,2018,7,Oakridge,49.23358558691282,-123.12014895219426,Summer
106,Break and Enter Residential/Other,2020,6,Kitsilano,49.26672299709863,-123.17143535351012,Spring
107,Other Theft,2018,11,Central Business District,49.27656636526221,-123.12519950174502,Autumn
108,Other Theft,2021,9,Victoria-Fraserview,49.22044362024067,-123.06268572534007,Autumn
109,Theft from Vehicle,2019,8,Central Business District,49.2822808391079,-123.11449719815758,Summer
