TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Other Theft,2017,2,13,14,41,10XX GRANVILLE ST,Central Business District,491044.2307,5458493.5408
Other Theft,2017,3,5,0,0,10XX GRANVILLE ST,Central Business District,491044.2307,5458493.5408
Other Theft,2017,4,8,1,0,10XX GRANVILLE ST,Central Business District,491044.2307,5458493.5408
Other Theft,2017,6,11,19,36,10XX GRANVILLE ST,Central Business District,491044.2307,5458493.5408
Other Theft,2017,7,19,21,48,10XX GRANVILLE ST,Central Business District,491044.2307,5458493.5408
Other Theft,2017,8,20,1,30,10XX GRANVILLE ST,Central Business District,491044.2307,5458493.5408
Other Theft,2017,10,14,23,0,10XX GRANVILLE ST,Central Business District,491044.2307,5458493.5408
Other Theft,2017,12,7,6,11,10XX GRANVILLE ST,Central Business District,491044.2307,5458493.5408
Other Theft,2017,1,16,3,55,10XX GRANVILLE ST,Central Business District,491050.796,5458500.2531
Other Theft,2017,6,28,20,37,10XX GRANVILLE ST,Central Business District,491050.796,5458500.2531
Other Theft,2017,11,27,11,0,10XX GRANVILLE ST,Central Business District,491050.796,5458500.2531
Other Theft,2017,7,16,16,15,10XX HAMILTON ST,Central Business District,491274.4121,5458212.4641
Other Theft,2017,7,22,23,0,10XX HAMILTON ST,Central Business District,491274.4121,5458212.4641
Other Theft,2017,7,1,23,0,10XX HAMILTON ST,Central Business District,491289.649,5458241.0214
Other Theft,2017,9,10,0,30,10XX HAMILTON ST,Central Business District,491289.649,5458241.0214
Other Theft,2017,3,11,21,28,10XX HAMILTON ST,Central Business District,491302.6998,5458241.2579
Other Theft,2017,1,24,20,49,10XX HARO ST,West End,490899.0253,5458974.0656
Other Theft,2017,12,29,16,0,10XX HARO ST,West End,490899.0253,5458974.0656
Other Theft,2017,12,25,12,0,10XX HARO ST,West End,490907.1712,5458965.9806
Other Theft,2017,1,10,4,10,10XX HARWOOD ST,West End,490357.2309,5458429.3048
Other Theft,2017,11,29,2,50,10XX HARWOOD ST,West End,490438.8418,5458333.1637
Other Theft,2017,9,11,15,8,10XX HOMER ST,Central Business District,491156.6163,5458191.0832
Other Theft,2017,3,7,1,6,10XX HOMER ST,Central Business District,491156.6163,5458191.0832
Other Theft,2017,4,6,1,50,10XX HOMER ST,Central Business District,491156.6163,5458191.0832
Other Theft,2017,6,11,16,7,10XX HOMER ST,Central Business District,491165.4488,5458200.0834
Other Theft,2017,6,28,22,0,10XX HOMER ST,Central Business District,491167.5589,5458189.1787
Other Theft,2017,11,14,8,36,10XX HOMER ST,Central Business District,491209.513,5458231.9298
Other Theft,2017,11,16,8,7,10XX HOMER ST,Central Business District,491255.8833,5458279.1811
Other Theft,2017,11,29,13,57,10XX HOMER ST,Central Business District,491255.8833,5458279.1811
Other Theft,2017,12,13,23,10,10XX HOMER ST,Central Business District,491255.8833,5458279.1811
Other Theft,2017,2,5,13,40,10XX HOMER ST,Central Business District,491258.0914,5458281.4311
Other Theft,2017,2,6,11,16,10XX HOMER ST,Central Business District,491258.0914,5458281.4311
Other Theft,2017,2,20,10,6,10XX HOMER ST,Central Business District,491258.0914,5458281.4311
Other Theft,2017,3,11,9,30,10XX HOMER ST,Central Business District,491258.0914,5458281.4311
Other Theft,2017,3,26,20,48,10XX HOMER ST,Central Business District,491258.0914,5458281.4311
