TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Other Theft,2015,10,25,0,30,10XX GRANVILLE ST,Central Business District,491042.2283,5458491.4939
Other Theft,2015,6,6,23,0,10XX GRANVILLE ST,Central Business District,491048.5142,5458497.9206
Other Theft,2015,6,11,6,56,10XX GRANVILLE ST,Central Business District,491048.5142,5458497.9206
Other Theft,2015,7,5,6,45,10XX GRANVILLE ST,Central Business District,491048.5142,5458497.9206
Other Theft,2015,7,19,16,10,10XX GRANVILLE ST,Central Business District,491048.5142,5458497.9206
Other Theft,2015,9,26,3,34,10XX GRANVILLE ST,Central Business District,491048.5142,5458497.9206
Other Theft,2015,9,29,0,49,10XX GRANVILLE ST,Central Business District,491048.5142,5458497.9206
Other Theft,2015,2,16,18,0,10XX GREAT NORTHERN WAY,Strathcona,494040.9058,5456959.0548
Other Theft,2015,2,25,18,39,10XX HAMILTON ST,Central Business District,491225.6144,5458162.7939
Other Theft,2015,3,18,21,0,10XX HAMILTON ST,Central Business District,491236.0312,5458173.3973
Other Theft,2015,3,25,15,0,10XX HAMILTON ST,Central Business District,491242.2813,5458179.7593
Other Theft,2015,3,30,11,47,10XX HAMILTON ST,Central Business District,491242.2813,5458179.7593
Other Theft,2015,2,14,17,35,10XX HAMILTON ST,Central Business District,491261.0317,5458198.8455
Other Theft,2015,5,15,16,0,10XX HAMILTON ST,Central Business District,491287.8427,5458239.1846
Other Theft,2015,8,13,22,0,10XX HAMILTON ST,Central Business District,491287.8427,5458239.1846
Other Theft,2015,11,11,20,29,10XX HAMILTON ST,Central Business District,491287.8427,5458239.1846
Other Theft,2015,3,20,0,0,10XX HAMILTON ST,Central Business District,491289.9261,5458241.3053
Other Theft,2015,5,1,16,53,10XX HARWOOD ST,West End,490431.9449,5458353.2344
Other Theft,2015,7,15,12,15,10XX HOMER ST,Central Business District,491167.0929,5458201.7591
Other Theft,2015,10,18,16,0,10XX HOMER ST,Central Business District,491167.0929,5458201.7591
Other Theft,2015,11,12,13,28,10XX HOMER ST,Central Business District,491167.2767,5458188.8915
